"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"11","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","9","8","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","19","15","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","20","1","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"14","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientDataEventPublisher.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientDataEventPublisher.cls","3","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"16","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientDataEventPublisher.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientEventPublisher.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"18","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientEventPublisher.cls","3","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"19","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientEventPublisher.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientSubmissionPublisher.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"21","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientSubmissionPublisher.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"22","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","1","24","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"23","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"24","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","19","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"25","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","27","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"26","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","40","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"27","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","45","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"28","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","45","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"29","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"30","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","1","21","ClassNamingConventions","The class name 'duplicateUserRecordController' doesn't match '[A-Z][a-zA-Z0-9_]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#classnamingconventions","Code Style","pmd"
"31","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"32","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","19","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"33","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","27","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"34","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","40","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"35","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","45","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"36","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","45","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"37","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","1","1","AvoidLogicInTrigger","Avoid logic in triggers","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidlogicintrigger","Best Practices","pmd"
"38","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","9","46","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"39","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","9","46","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"40","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","10","47","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"41","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","10","47","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"42","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","11","47","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"43","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","11","47","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"44","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\AccountUpdateEventTrigger.trigger","18","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"45","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","1","1","AvoidLogicInTrigger","Avoid logic in triggers","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidlogicintrigger","Best Practices","pmd"
"46","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","1","1","StdCyclomaticComplexity","The method 'invoke' has a Standard Cyclomatic Complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"47","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","1","1","StdCyclomaticComplexity","The trigger 'PatientFullDataEventTrigger' has a Standard Cyclomatic Complexity of 11 (Highest = 10).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"48","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","1","1","CognitiveComplexity","The trigger 'PatientFullDataEventTrigger' has a cognitive complexity of 15, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"49","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","1","1","CyclomaticComplexity","The trigger 'PatientFullDataEventTrigger' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"50","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","18","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"51","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","57","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"52","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","58","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"53","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","59","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"54","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","70","45","OperationWithLimitsInLoop","Avoid operations in loops that may hit governor limits","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#operationwithlimitsinloop","Performance","pmd"
"55","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","70","45","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"56","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientFullDataEventTrigger.trigger","88","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"57","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientSubmissionTrigger.trigger","1","1","AvoidLogicInTrigger","Avoid logic in triggers","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidlogicintrigger","Best Practices","pmd"
"58","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientSubmissionTrigger.trigger","16","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"59","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientSubmissionTrigger.trigger","39","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"60","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\triggers\PatientSubmissionTrigger.trigger","40","5","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"61","2","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\lwc\searchFunction\searchFunction.js","3","8","no-unused-vars","'updateAccountRecord' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"62","2","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\lwc\userInputRecord\userInputRecord.js","92","20","no-unused-vars","'result' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
